url	bukken_title	madori	construction_area	land_area	price	construction_year	construction_month	features	todofukenNm	shikugunNm	tohoJikan1
https://suumo.jp/ikkodate/tokyo/sc_koto/nc_75342113/	75342113	2LDK+S	71.08	45.46	54800000	2024	12	システムキッチン|温水洗浄便座|全居室フローリング|納戸|食器洗乾燥機|浄水器	東京都	江東区	12
https://suumo.jp/ikkodate/tokyo/sc_adachi/nc_75372595/	75372595	3LDK+S	118.3	61.86	54800000	2024	12	地盤調査済|年内引渡可|２沿線以上利用可|ＬＤＫ２０畳以上|省エネ給湯器|スーパー 徒歩10分以内|避暑地|南向き|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|南側道路面す|閑静な住宅地|前道６ｍ以上|角地|整形地|シャワー付洗面化粧台|対面式キッチン|EV車充電設備|ワイドバルコニー|トイレ２ヶ所|浴室１坪以上|南面バルコニー|温水洗浄便座|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|通風良好|全居室フローリング|パントリー（食器・食品の収納庫）|３階建以上|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|小学校 徒歩10分以内|平坦地|床暖房|食器洗乾燥機|周辺交通量少なめ|浄水器|ビルトインガレージ	東京都	足立区	18
https://suumo.jp/ikkodate/tokyo/sc_edogawa/nc_72901281/	72901281	3LDK+S	108.63	62.17	54980000	2024	04	年内引渡可|２沿線以上利用可|スーパー 徒歩10分以内|システムキッチン|陽当り良好|全居室収納|閑静な住宅地|ＬＤＫ１５畳以上|セキュリティ充実|トイレ２ヶ所|２面以上バルコニー|温水洗浄便座|床下収納|浴室に窓|ＴＶモニタ付インターホン|通風良好|全居室フローリング|ウォークインクローゼット|３階建以上|都市ガス|納戸	東京都	江戸川区	22
https://suumo.jp/ikkodate/tokyo/sc_edogawa/nc_75097629/	75097629	3LDK	86.99	45.73	55800000	2024	09	システムキッチン|浴室乾燥機|陽当り良好|駅まで平坦|閑静な住宅地|ＬＤＫ１５畳以上|前道６ｍ以上|整形地|シャワー付洗面化粧台|対面式キッチン|トイレ２ヶ所|浴室１坪以上|２面以上バルコニー|複層ガラス|ＴＶモニタ付インターホン|通風良好|３階建以上|全居室複層ガラスか複層サッシ|都市ガス|平坦地|床暖房	東京都	江戸川区	16
https://suumo.jp/ikkodate/tokyo/sc_nerima/nc_75390716/	75390716	3LDK	78.88	45.26	55800000	2024	09	フラット３５・S適合証明書|フラット３５Sに対応|省エネ給湯器|テニスコートが近い|スーパー 徒歩10分以内|市街地が近い|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|閑静な住宅地|ＬＤＫ１５畳以上|総合病院 徒歩10分以内|整形地|対面式キッチン|浴室１坪以上|複層ガラス|オートバス|温水洗浄便座|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|緑豊かな住宅地|都市近郊|通風良好|全居室フローリング|眺望良好|パントリー（食器・食品の収納庫）|３階建以上|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|全室２面採光|小学校 徒歩10分以内|ルーフバルコニー|平坦地|床暖房|食器洗乾燥機|周辺交通量少なめ|整備された歩道|浄水器|スマートキー|高機能トイレ|ビルトインガレージ	東京都	練馬区	11
https://suumo.jp/ikkodate/tokyo/sc_katsushika/nc_75395562/	75395562	2LDK+2S	118.66	67.1	55900000	2024	09	設計住宅性能評価書|建設住宅性能評価書（新築時）|フラット３５Sに対応|地盤調査済|省エネ給湯器|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|閑静な住宅地|ＬＤＫ１５畳以上|シャワー付洗面化粧台|対面式キッチン|トイレ２ヶ所|浴室１坪以上|２面以上バルコニー|南面バルコニー|複層ガラス|オートバス|温水洗浄便座|浴室に窓|ＴＶモニタ付インターホン|通風良好|全居室フローリング|３階建以上|都市ガス|平坦地|ビルトインガレージ	東京都	葛飾区	9
https://suumo.jp/ikkodate/tokyo/sc_itabashi/nc_75412391/	75412391	3LDK	72.14	70.88	56800000	2024	09	２沿線以上利用可|スーパー 徒歩10分以内|南向き|システムキッチン|浴室乾燥機|陽当り良好|南側道路面す|閑静な住宅地|ＬＤＫ１５畳以上|整形地|シャワー付洗面化粧台|対面式キッチン|ワイドバルコニー|トイレ２ヶ所|浴室１坪以上|南面バルコニー|オートバス|温水洗浄便座|浴室に窓|緑豊かな住宅地|通風良好|全居室フローリング|都市ガス|小学校 徒歩10分以内|床暖房|食器洗乾燥機	東京都	板橋区	5
https://suumo.jp/ikkodate/tokyo/sc_ota/nc_74765805/	74765805	1LDK+2S	86.88	50.49	56900000	2024	10	年内引渡可|２沿線以上利用可|スーパー 徒歩10分以内|市街地が近い|システムキッチン|陽当り良好|全居室収納|閑静な住宅地|ＬＤＫ１５畳以上|前道６ｍ以上|対面式キッチン|浴室１坪以上|複層ガラス|温水洗浄便座|緑豊かな住宅地|都市近郊|通風良好|全居室フローリング|眺望良好|３階建以上|全居室複層ガラスか複層サッシ|都市ガス|高台に立地|小学校 徒歩10分以内|平坦地|周辺交通量少なめ|整備された歩道	東京都	大田区	13
https://suumo.jp/ikkodate/tokyo/sc_edogawa/nc_74762547/	74762547	3LDK+S	112.3	81.5	56980000	2024	04	フラット３５Sに対応|年内引渡可|市街地が近い|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|閑静な住宅地|ＬＤＫ１５畳以上|シャワー付洗面化粧台|トイレ２ヶ所|２階建|複層ガラス|温水洗浄便座|床下収納|浴室に窓|ＴＶモニタ付インターホン|通風良好|全居室フローリング|全居室複層ガラスか複層サッシ|都市ガス|ルーフバルコニー|平坦地|床暖房|食器洗乾燥機	東京都	江戸川区	
https://suumo.jp/ikkodate/tokyo/sc_katsushika/nc_75144642/	75144642	3LDK+S	100.5	74.49	57080000	2024	04	フラット３５・S適合証明書|フラット３５Sに対応|地盤調査済|即引渡可|省エネ給湯器|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|ＬＤＫ１５畳以上|整形地|シャワー付洗面化粧台|対面式キッチン|３面採光|トイレ２ヶ所|浴室１坪以上|温水洗浄便座|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|通風良好|全居室フローリング|ウォークインクローゼット|３階建以上|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|全室２面採光|平坦地|床暖房|食器洗乾燥機|浄水器	東京都	葛飾区	5
