,district,walk_min_from_nearest_station,construction_area,construction_year,street_width,land_price_estimated,wood,south,west,east,north,price
1693,新宿区,3,70,2021,4.0,60.0,True,False,True,False,False,76.0
1718,新宿区,3,80,2021,3.6,88.75,True,True,False,False,False,80.0
1918,文京区,4,85,2023,4.0,68.75,True,False,True,False,False,98.0
1925,文京区,5,85,2023,4.0,48.125,True,False,True,False,False,89.0
1928,文京区,8,95,2022,4.0,51.375,True,False,False,False,True,110.0
1929,文京区,8,100,2022,4.0,44.525,True,False,False,False,True,120.0
1930,文京区,8,100,2022,4.0,44.525,True,False,False,True,False,150.0
1931,文京区,5,80,2021,3.4,70.46875,True,True,True,False,False,80.0
1933,文京区,6,105,2023,4.0,102.5,True,False,True,False,False,100.0
1934,文京区,5,85,2021,4.0,57.66665,True,False,True,False,True,77.0
1936,文京区,5,110,2022,5.3,80.575,True,True,False,True,False,110.0
1942,文京区,6,80,2021,3.4,37.95,True,True,True,False,False,77.0
1943,文京区,3,95,2020,3.3,56.375,True,False,False,False,True,66.0
1944,文京区,5,85,2021,4.0,61.5,True,False,False,False,True,73.0
1967,文京区,12,130,2021,5.9,120.0,True,False,True,False,False,170.0
1976,文京区,8,60,2023,3.0,44.84375,True,False,False,False,True,72.0
1979,文京区,7,120,2023,4.0,96.0,True,True,False,False,False,170.0
1981,文京区,4,100,2022,3.1,166.05,True,True,False,False,False,110.0
1982,文京区,4,95,2022,3.2,184.5,True,True,False,False,False,90.0
1985,文京区,8,100,2020,3.8,132.3,True,False,True,False,False,120.0
2000,文京区,4,75,2023,4.0,52.1846,True,True,False,True,False,86.0
2001,文京区,4,105,2021,4.0,143.0,True,True,False,False,False,95.0
2002,文京区,4,90,2021,4.0,156.0,True,True,False,False,False,100.0
2018,文京区,7,95,2023,4.3,46.2,True,True,True,False,False,99.0
2026,文京区,5,100,2024,3.7,162.0,True,False,True,False,True,100.0
2034,文京区,6,80,2023,4.0,66.0,True,False,False,True,True,96.0
2038,文京区,7,95,2022,3.4,72.0,True,True,True,False,False,96.0
2046,文京区,6,80,2022,4.0,61.2,True,True,True,False,False,79.0
2047,文京区,9,80,2022,4.0,56.1,True,False,False,True,True,90.0
2052,文京区,7,75,2022,4.0,67.283315,True,False,True,False,True,72.0
2053,文京区,5,65,2021,3.7,49.5,True,False,True,False,True,80.0
2054,文京区,9,100,2021,16.5,60.5,True,False,True,False,True,69.0
2058,文京区,10,70,2022,4.0,51.8,True,False,False,True,True,58.0
2063,文京区,9,100,2023,3.0,78.0,True,False,False,True,False,120.0
2073,文京区,8,130,2023,3.0,94.15,True,True,False,True,False,140.0
2078,文京区,7,70,2022,4.0,63.0,True,True,False,False,False,75.0
2082,文京区,7,105,2022,4.0,133.0,True,False,False,False,True,130.0
2089,文京区,7,75,2022,4.3,42.525,True,True,False,True,False,76.0
2093,文京区,5,70,2022,4.0,32.4,True,False,True,False,False,70.0
2094,文京区,5,70,2022,4.0,32.4,True,False,True,False,False,70.0
2095,文京区,7,90,2022,3.3,46.8,True,False,False,False,True,87.0
2096,文京区,5,115,2022,3.3,55.95,True,True,False,True,False,100.0
2102,文京区,8,65,2022,3.5,54.0,True,True,True,False,False,77.0
2105,文京区,8,85,2023,3.4,78.0,True,False,True,False,False,99.0
2106,文京区,8,85,2023,3.4,78.0,True,False,True,False,False,100.0
2107,文京区,8,85,2022,4.2,77.0,True,False,False,True,True,96.0
2109,文京区,9,70,2022,3.6,52.65,True,True,False,True,False,97.0
2115,文京区,4,95,2022,5.3,102.5,True,False,False,True,False,170.0
2117,文京区,4,90,2023,3.5,72.526685,True,True,False,True,False,120.0
2122,文京区,2,70,2020,3.1,64.0625,True,True,False,True,False,80.0
2123,文京区,1,75,2022,2.1,58.707675,True,True,False,True,False,78.0
2126,文京区,2,95,2022,3.3,77.49443,True,False,True,False,True,120.0
2129,文京区,2,75,2022,3.2,45.6,True,False,True,False,True,76.0
2135,文京区,6,85,2022,10.7,72.0,True,True,False,False,False,100.0
2136,文京区,11,110,2021,4.0,97.5,True,True,False,False,False,90.0
2140,文京区,8,90,2021,4.0,73.39998,True,True,True,False,False,120.0
2141,文京区,8,70,2020,4.0,45.33332,True,True,False,True,False,64.0
2149,文京区,7,60,2022,4.0,49.0,True,True,False,True,False,64.0
2152,文京区,3,150,2023,8.0,77.0,False,False,True,False,False,150.0
2155,文京区,11,75,2022,4.0,50.6,True,False,True,False,False,70.0
2156,文京区,6,75,2022,3.0,59.8,True,False,True,False,False,76.0
2157,文京区,5,110,2022,3.4,84.6125,True,True,False,True,False,110.0
2160,文京区,9,90,2022,4.1,60.4375,True,True,False,True,False,89.0
2166,文京区,5,85,2021,3.4,71.19413,True,False,True,False,False,73.0
2167,文京区,6,130,2021,4.0,86.450015,True,True,False,True,False,130.0
2168,文京区,5,110,2021,4.0,86.450015,False,False,False,True,False,150.0
2172,文京区,4,125,2021,4.0,91.35,False,True,True,False,False,180.0
2173,文京区,7,95,2021,5.2,39.15,True,True,False,False,False,87.0
2174,文京区,5,115,2021,4.2,60.9,False,False,False,True,True,160.0
2189,文京区,5,300,2021,4.0,255.0,True,False,False,True,False,270.0
2190,文京区,4,110,2020,4.0,76.0,False,False,False,True,True,140.0
2191,文京区,4,105,2020,4.0,71.25,False,False,False,True,True,140.0
2230,文京区,14,100,2023,6.0,43.8,True,False,False,True,False,120.0
2242,文京区,5,100,2022,4.0,76.5,True,False,False,False,True,120.0
2243,文京区,3,115,2021,4.7,90.0,True,True,False,True,False,99.0
2246,文京区,8,175,2023,5.8,117.0,True,False,False,True,False,180.0
2250,文京区,8,80,2022,4.0,58.5,True,True,False,True,False,100.0
2252,文京区,4,75,2021,3.4,42.3,True,False,True,False,True,73.0
2257,文京区,3,135,2023,4.0,177.72859,True,True,True,False,False,150.0
2266,文京区,6,85,2022,3.1,55.55,True,False,False,True,True,93.0
2268,文京区,4,95,2023,3.3,120.694145,True,False,True,False,True,80.0
2270,文京区,8,75,2022,4.0,65.0,True,False,False,False,True,87.0
2271,文京区,7,85,2022,4.0,53.35,True,True,False,False,False,87.0
2272,文京区,8,70,2022,4.0,48.5,True,False,True,False,False,83.0
2273,文京区,8,130,2020,3.7,100.05,False,True,False,False,False,150.0
2276,文京区,8,130,2020,4.0,132.21767,False,True,False,False,False,160.0
2281,文京区,7,130,2022,4.0,47.5,True,False,True,False,False,140.0
2453,台東区,4,65,2021,5.0,45.6,True,False,True,False,True,76.0
2457,台東区,16,85,2023,4.0,55.0,True,False,False,True,True,70.0
2464,台東区,19,85,2022,6.0,67.275,True,False,False,True,False,57.0
2496,台東区,9,95,2023,3.7,95.499975,True,False,True,False,True,110.0
2497,台東区,7,125,2022,4.0,238.0,True,False,False,True,False,110.0
2498,台東区,7,100,2023,4.0,204.0,True,False,False,True,True,85.0
2502,台東区,8,115,2022,3.5,54.249975,True,True,False,True,False,130.0
2503,台東区,8,115,2022,3.5,50.63331,True,True,False,True,False,120.0
2505,台東区,9,115,2021,3.8,56.55,True,True,False,False,False,100.0
2543,台東区,5,65,2022,3.0,66.91998,True,False,True,False,False,64.0
2561,台東区,8,70,2021,4.0,50.300005,True,True,False,False,False,50.0
2568,台東区,9,65,2023,6.0,52.25,True,True,True,False,False,70.0
2617,台東区,7,80,2022,6.0,29.0,True,True,False,False,False,50.0
2625,台東区,9,75,2021,11.0,42.808315,True,False,True,False,True,47.0
2628,台東区,10,105,2023,2.4,136.0,True,False,True,False,False,77.0
2632,台東区,6,80,2022,5.2,42.525,True,True,False,False,False,65.0
2634,台東区,7,80,2022,3.7,66.0,True,False,True,False,True,64.0
2641,台東区,5,90,2024,25.0,57.299985,True,False,False,True,True,71.0
2651,台東区,7,85,2023,4.0,63.28,True,False,False,True,False,71.0
2652,台東区,7,75,2023,2.9,54.24,True,False,False,False,True,58.0
2669,台東区,15,90,2022,8.0,64.2,True,False,False,False,True,65.0
2710,台東区,5,80,2023,3.4,40.46668,True,True,False,False,False,72.0
2723,台東区,3,60,2023,6.0,31.64,True,False,True,False,False,47.0
2740,台東区,3,100,2023,3.6,119.0,True,False,True,False,False,130.0
2742,台東区,3,75,2021,4.0,36.0,True,False,False,False,True,69.0
2751,台東区,13,65,2021,4.0,26.55,True,True,True,False,False,64.0
3047,墨田区,7,65,2023,2.7,44.56,True,False,False,True,False,62.0
3052,墨田区,12,75,2022,6.0,46.2,True,False,False,False,True,67.0
3059,墨田区,8,100,2023,3.1,79.125,True,True,True,False,False,86.0
3061,墨田区,6,80,2024,4.4,68.575,False,False,True,False,True,65.0
3068,墨田区,7,85,2022,3.0,46.0,True,False,True,False,True,69.0
3069,墨田区,4,60,2021,4.4,35.44,True,False,False,True,True,57.0
3070,墨田区,4,95,2021,3.1,51.15,True,False,False,True,True,62.0
3091,墨田区,5,70,2021,3.0,40.8,True,False,True,False,False,59.0
3096,墨田区,9,110,2022,2.8,34.125,True,True,False,True,False,50.0
3097,墨田区,8,80,2023,4.3,23.250015,True,True,True,False,False,60.0
3099,墨田区,6,100,2024,4.0,33.583355,True,True,True,False,False,58.0
3100,墨田区,7,90,2024,4.0,31.00002,True,True,True,False,False,68.0
3103,墨田区,7,85,2023,3.6,16.75,True,False,False,True,True,65.0
3108,墨田区,5,80,2023,3.2,23.0,True,False,False,True,True,50.0
3110,墨田区,8,115,2023,3.8,26.208,True,False,True,False,True,55.0
3112,墨田区,10,70,2022,4.5,16.128,True,True,False,False,False,55.0
3114,墨田区,5,100,2022,4.0,43.916695,True,False,False,True,True,60.0
3115,墨田区,8,95,2022,4.0,28.416685,True,True,True,False,False,73.0
3119,墨田区,3,70,2021,4.0,22.725,True,True,False,True,False,40.0
3123,墨田区,5,60,2020,1.8,22.166655,True,False,False,False,True,30.0
3141,墨田区,8,65,2023,1.9,13.2,True,False,False,True,True,35.0
3143,墨田区,6,70,2023,3.7,38.4,True,True,True,False,False,47.0
3145,墨田区,7,90,2023,4.0,35.2,True,True,True,False,False,53.0
3147,墨田区,5,100,2023,5.0,41.6,True,False,False,False,True,63.0
3149,墨田区,5,85,2023,4.0,20.25,True,True,True,False,False,53.0
3153,墨田区,4,85,2023,5.7,21.6,True,False,True,False,False,60.0
3155,墨田区,5,55,2022,2.4,12.8,True,False,False,False,True,34.0
3156,墨田区,9,60,2022,2.7,11.2,True,False,True,False,False,34.0
3167,墨田区,2,100,2021,3.9,14.3,True,False,True,False,False,53.0
3173,墨田区,3,115,2021,6.2,23.1,True,False,False,True,False,49.0
3174,墨田区,8,105,2021,4.0,35.7,True,False,False,False,True,51.0
3182,墨田区,6,75,2021,3.8,61.132,True,False,True,False,False,36.0
3185,墨田区,6,100,2023,4.0,31.875,True,False,False,True,False,58.0
3187,墨田区,6,85,2022,2.5,28.2,True,True,False,False,False,51.0
3190,墨田区,8,90,2020,3.6,19.158315,True,False,False,False,True,44.0
3191,墨田区,6,70,2021,3.7,13.93332,True,False,False,True,False,40.0
3194,墨田区,8,50,2023,2.9,7.63,True,False,False,True,False,28.0
3196,墨田区,8,85,2022,3.0,47.883305,True,False,False,True,False,53.0
3198,墨田区,6,85,2021,3.2,15.4,True,True,True,False,False,40.0
3205,墨田区,9,75,2022,4.0,49.0,True,True,False,False,False,68.0
3213,墨田区,10,95,2023,10.8,66.26664,True,False,False,True,False,52.0
3217,墨田区,1,95,2022,6.9,26.25,True,True,True,False,False,56.0
3219,墨田区,9,70,2022,6.3,39.2,True,False,True,False,True,49.0
3222,墨田区,11,125,2021,9.7,39.9,True,False,False,False,True,55.0
3223,墨田区,11,100,2021,9.5,39.9,True,False,False,False,True,57.0
3224,墨田区,6,70,2021,4.0,22.8,True,False,False,False,True,40.0
3227,墨田区,4,85,2021,4.0,14.0,True,False,False,True,False,46.0
3229,墨田区,26,75,2021,4.0,2.88,True,False,False,True,False,44.0
3234,墨田区,4,100,2024,4.0,34.3,True,False,True,False,False,62.0
3235,墨田区,8,100,2023,6.1,32.825,True,False,True,False,True,60.0
3236,墨田区,4,95,2023,4.0,37.875,True,True,False,False,False,58.0
3239,墨田区,10,85,2023,4.0,59.73426,True,True,False,False,False,56.0
3244,墨田区,6,85,2023,4.0,26.25,True,False,False,True,True,55.0
3247,墨田区,2,120,2021,3.6,65.968575,True,True,True,False,False,62.0
3248,墨田区,2,115,2021,3.6,65.968575,True,True,True,False,False,62.0
3249,墨田区,9,95,2022,9.5,70.36648,True,True,False,True,False,58.0
3250,墨田区,4,120,2022,3.3,79.16229,True,True,False,False,False,54.0
3257,墨田区,8,85,2021,4.0,23.65,True,False,True,False,True,50.0
3258,墨田区,11,75,2022,4.0,25.8,True,False,True,False,False,42.0
3275,墨田区,12,75,2022,20.2,35.25,True,True,False,True,False,47.0
3303,墨田区,10,80,2021,6.0,33.165,True,False,False,False,True,43.0
3305,墨田区,11,80,2021,6.0,25.2,True,False,False,False,True,44.0
3308,墨田区,12,100,2023,4.5,62.732175,True,False,False,True,False,51.0
3309,墨田区,12,100,2023,4.5,58.55003,True,False,False,False,True,53.0
